,Timestamp,Open,High,Low,Close,Volume
102,2018-04-24 06:00:00,0.8943,0.8997,0.8878,0.888,1201.92
103,2018-04-24 07:00:00,0.8972,0.8972,0.8761,0.882,920.43
104,2018-04-24 08:00:00,0.8882,0.8939,0.8834,0.89,31.86
105,2018-04-24 09:00:00,0.8904,0.9015,0.8904,0.8928,238.61
106,2018-04-24 10:00:00,0.8954,0.9,0.8909,0.8945,1524.28
107,2018-04-24 11:00:00,0.9,0.9,0.884,0.8843,468.55
108,2018-04-24 12:00:00,0.8822,0.8857,0.8653,0.8752,452.29
109,2018-04-24 13:00:00,0.8708,0.8708,0.8563,0.8619,973.88
110,2018-04-24 14:00:00,0.8582,0.8631,0.8463,0.8607,1013.05
111,2018-04-24 15:00:00,0.8621,0.8695,0.8568,0.8599,199.6
112,2018-04-24 16:00:00,0.8707,0.8707,0.8458,0.8548,747.41
113,2018-04-24 17:00:00,0.8543,0.8635,0.7556,0.84,2216.37
114,2018-04-24 18:00:00,0.837,0.8417,0.837,0.8417,43.86
115,2018-04-24 19:00:00,0.8461,0.8572,0.8448,0.8557,74.34
116,2018-04-24 20:00:00,0.8507,0.8514,0.8417,0.8511,1043.19
117,2018-04-24 21:00:00,0.8526,0.8526,0.837,0.837,332.06
118,2018-04-24 22:00:00,0.838,0.8528,0.8271,0.8371,544.07
119,2018-04-24 23:00:00,0.85,0.8678,0.8323,0.8542,417.44
120,2018-04-25 00:00:00,0.8462,0.854,0.8311,0.8391,1733.63
121,2018-04-25 01:00:00,0.8487,0.8487,0.8288,0.8288,537.82
122,2018-04-25 02:00:00,0.8309,0.8309,0.788,0.8104,1690.19
123,2018-04-25 03:00:00,0.8112,0.8292,0.7981,0.8288,1580.88
124,2018-04-25 04:00:00,0.8214,0.8217,0.7788,0.7855,1207.17
125,2018-04-25 05:00:00,0.7786,0.8215,0.7786,0.8046,364.35
126,2018-04-25 06:00:00,0.808,0.8291,0.808,0.8137,149.28
127,2018-04-25 07:00:00,0.8137,0.8445,0.8137,0.8265,322.21
128,2018-04-25 08:00:00,0.8271,0.8297,0.822,0.8277,127.4
129,2018-04-25 09:00:00,0.8295,0.8295,0.81,0.81,658.45
130,2018-04-25 10:00:00,0.8133,0.818,0.7959,0.8041,832.97
131,2018-04-25 11:00:00,0.8091,0.824,0.7984,0.8109,551.66
132,2018-04-25 12:00:00,0.8088,0.8262,0.7931,0.8187,903.09
133,2018-04-25 13:00:00,0.8174,0.8177,0.8052,0.8177,118.3
134,2018-04-25 14:00:00,0.8067,0.8167,0.7912,0.7912,550.83
135,2018-04-25 15:00:00,0.7963,0.8147,0.7963,0.8071,358.99
136,2018-04-25 16:00:00,0.8086,0.818,0.8086,0.8153,26.1
137,2018-04-25 17:00:00,0.8179,0.8254,0.8106,0.8217,467.22
138,2018-04-25 18:00:00,0.8217,0.8224,0.8131,0.8224,278.08
139,2018-04-25 19:00:00,0.8236,0.8244,0.8191,0.8191,44.57
140,2018-04-25 20:00:00,0.8272,0.8272,0.8131,0.8248,115.31
141,2018-04-25 21:00:00,0.8299,0.8349,0.8224,0.8282,415.08
142,2018-04-25 22:00:00,0.8314,0.8457,0.8303,0.8414,447.92
143,2018-04-25 23:00:00,0.8414,0.8424,0.8315,0.8315,198.08
144,2018-04-26 00:00:00,0.8315,0.8315,0.7977,0.7997,542.72
145,2018-04-26 01:00:00,0.8037,0.8135,0.8002,0.8116,60.82
146,2018-04-26 02:00:00,0.8126,0.818,0.8089,0.8149,360.24
147,2018-04-26 03:00:00,0.8143,0.8143,0.8009,0.808,129.73
148,2018-04-26 04:00:00,0.8001,0.8042,0.7818,0.7906,543.75
149,2018-04-26 05:00:00,0.7936,0.8107,0.792,0.8029,847.45
150,2018-04-26 06:00:00,0.8013,0.8018,0.7818,0.7902,371.59
151,2018-04-26 07:00:00,0.7878,0.7893,0.7668,0.7752,467.95
152,2018-04-26 08:00:00,0.781,0.7847,0.7704,0.7704,195.35
153,2018-04-26 09:00:00,0.7841,0.7841,0.7667,0.7696,109.99
154,2018-04-26 10:00:00,0.7725,0.7887,0.7725,0.787,189.98
155,2018-04-26 11:00:00,0.7844,0.7983,0.7844,0.7983,327.04
156,2018-04-26 12:00:00,0.7988,0.8093,0.7966,0.7966,591.69
157,2018-04-26 13:00:00,0.797,0.7989,0.7951,0.7989,127.63
158,2018-04-26 14:00:00,0.7982,0.8039,0.7982,0.8021,123.76
159,2018-04-26 15:00:00,0.8021,0.805,0.79,0.7967,888.33
160,2018-04-26 16:00:00,0.7968,0.8097,0.7917,0.8089,986.52
161,2018-04-26 17:00:00,0.8011,0.8011,0.7939,0.7996,141.46
162,2018-04-26 18:00:00,0.7977,0.7977,0.7929,0.7954,109.98
163,2018-04-26 19:00:00,0.7954,0.8,0.7917,0.8,69.1
164,2018-04-26 20:00:00,0.7927,0.8065,0.7927,0.7974,410.29
165,2018-04-26 21:00:00,0.7974,0.806,0.7912,0.8033,172.12
166,2018-04-26 22:00:00,0.8033,0.8072,0.7955,0.804,472.3
167,2018-04-26 23:00:00,0.81,0.8118,0.7912,0.8005,606.12
168,2018-04-27 00:00:00,0.8012,0.823,0.7993,0.7993,457.77
169,2018-04-27 01:00:00,0.8012,0.8046,0.7943,0.7987,375.97
170,2018-04-27 02:00:00,0.7987,0.8035,0.7987,0.8011,72.87
171,2018-04-27 03:00:00,0.8022,0.8043,0.8005,0.8005,83.56
172,2018-04-27 04:00:00,0.8005,0.8046,0.7976,0.8046,331.0
173,2018-04-27 05:00:00,0.8047,0.8047,0.7963,0.8012,309.36
174,2018-04-27 06:00:00,0.8049,0.8113,0.8042,0.8054,209.87
175,2018-04-27 07:00:00,0.8108,0.8222,0.8108,0.8113,258.58
176,2018-04-27 08:00:00,0.8105,0.8105,0.805,0.805,115.05
177,2018-04-27 09:00:00,0.8058,0.8149,0.8031,0.8149,80.97
178,2018-04-27 10:00:00,0.8124,0.8197,0.8113,0.8113,100.4
179,2018-04-27 11:00:00,0.8104,0.8197,0.8091,0.8193,928.92
180,2018-04-27 12:00:00,0.8149,0.8176,0.812,0.8137,291.43
181,2018-04-27 13:00:00,0.8138,0.8168,0.8028,0.8028,309.32
182,2018-04-27 14:00:00,0.8025,0.8102,0.7992,0.7992,501.52
183,2018-04-27 15:00:00,0.8017,0.8066,0.7889,0.7889,766.7
184,2018-04-27 16:00:00,0.7889,0.8037,0.7789,0.8037,4489.47
185,2018-04-27 17:00:00,0.7992,0.8155,0.7992,0.8155,167.58
186,2018-04-27 18:00:00,0.8128,0.8128,0.7939,0.7939,237.27
187,2018-04-27 19:00:00,0.7939,0.8043,0.79,0.79,566.8
188,2018-04-27 20:00:00,0.7885,0.7905,0.778,0.7782,658.93
189,2018-04-27 21:00:00,0.782,0.7836,0.7775,0.7775,254.56
190,2018-04-27 22:00:00,0.7775,0.7907,0.7758,0.7858,111.64
191,2018-04-27 23:00:00,0.7863,0.7905,0.7842,0.7859,263.86
192,2018-04-28 00:00:00,0.7797,0.7797,0.7657,0.7685,327.17
193,2018-04-28 01:00:00,0.7724,0.7733,0.7684,0.7684,61.94
194,2018-04-28 02:00:00,0.7762,0.784,0.7762,0.777,221.97
195,2018-04-28 03:00:00,0.777,0.777,0.7694,0.7694,235.37
196,2018-04-28 04:00:00,0.7669,0.7669,0.7664,0.7665,23.44
197,2018-04-28 05:00:00,0.7635,0.7692,0.76,0.7609,43.17
198,2018-04-28 06:00:00,0.7604,0.7751,0.7512,0.7708,595.05
199,2018-04-28 07:00:00,0.7713,0.7809,0.76,0.7674,804.68
200,2018-04-28 08:00:00,0.7759,0.78,0.769,0.7736,135.69
201,2018-04-28 09:00:00,0.7712,0.7805,0.7661,0.7662,252.4
202,2018-04-28 10:00:00,0.7656,0.7802,0.7645,0.7802,304.74
203,2018-04-28 11:00:00,0.7756,0.7847,0.7736,0.7845,446.46
204,2018-04-28 12:00:00,0.7763,0.7851,0.7763,0.7823,246.22
205,2018-04-28 13:00:00,0.7787,0.7842,0.7742,0.7835,319.59
206,2018-04-28 14:00:00,0.7828,0.7851,0.776,0.7851,457.12
207,2018-04-28 15:00:00,0.7854,0.7941,0.7793,0.7818,632.87
208,2018-04-28 16:00:00,0.7851,0.8046,0.7803,0.7839,323.26
209,2018-04-28 17:00:00,0.783,0.7906,0.7813,0.785,310.23
210,2018-04-28 18:00:00,0.787,0.7881,0.7822,0.7851,251.89
211,2018-04-28 19:00:00,0.7878,0.788,0.7847,0.788,142.5
212,2018-04-28 20:00:00,0.7871,0.7957,0.7871,0.7957,229.48
213,2018-04-28 21:00:00,0.7931,0.7931,0.7829,0.7852,65.88
214,2018-04-28 22:00:00,0.7817,0.789,0.7813,0.7813,274.2
215,2018-04-28 23:00:00,0.7834,0.7882,0.7735,0.7882,1750.08
216,2018-04-29 00:00:00,0.7895,0.7895,0.7791,0.7875,66.16
217,2018-04-29 01:00:00,0.7871,0.8012,0.7871,0.7954,296.51
218,2018-04-29 02:00:00,0.7967,0.8058,0.795,0.795,114.94
219,2018-04-29 03:00:00,0.7948,0.7992,0.7826,0.7867,409.21
220,2018-04-29 04:00:00,0.7907,0.8066,0.7907,0.8025,183.27
221,2018-04-29 05:00:00,0.8055,0.8112,0.8031,0.8112,331.55
222,2018-04-29 06:00:00,0.8098,0.822,0.8036,0.8036,1187.77
223,2018-04-29 07:00:00,0.809,0.8349,0.808,0.8325,1248.17
224,2018-04-29 08:00:00,0.833,0.84,0.8217,0.8265,1779.96
225,2018-04-29 09:00:00,0.817,0.8268,0.8107,0.822,2085.96
226,2018-04-29 10:00:00,0.822,0.827,0.8117,0.819,560.08
227,2018-04-29 11:00:00,0.812,1.1,0.812,0.828,2599.51
228,2018-04-29 12:00:00,0.8261,0.8349,0.8229,0.8229,906.94
229,2018-04-29 13:00:00,0.8229,0.8343,0.8173,0.8252,659.24
230,2018-04-29 14:00:00,0.831,0.8343,0.8209,0.8343,612.36
231,2018-04-29 15:00:00,0.8343,0.9998,0.8228,0.8447,2062.18
232,2018-04-29 16:00:00,0.8495,0.8555,0.834,0.8414,609.96
233,2018-04-29 17:00:00,0.8451,0.8564,0.8399,0.8547,840.56
234,2018-04-29 18:00:00,0.8577,0.8701,0.8452,0.8452,2367.18
235,2018-04-29 19:00:00,0.8547,0.88,0.8471,0.88,266.68
236,2018-04-29 20:00:00,0.8791,0.8791,0.8591,0.8591,342.23
237,2018-04-29 21:00:00,0.8603,0.8627,0.8487,0.8557,282.31
238,2018-04-29 22:00:00,0.8491,0.8722,0.843,0.8715,582.29
239,2018-04-29 23:00:00,0.8674,0.8719,0.8575,0.8635,169.59
240,2018-04-30 00:00:00,0.8642,0.9899,0.8548,0.8578,1502.61
241,2018-04-30 01:00:00,0.8598,0.8704,0.857,0.8662,683.12
242,2018-04-30 02:00:00,0.8639,0.8662,0.844,0.8602,1232.49
243,2018-04-30 03:00:00,0.8602,0.8676,0.846,0.8468,960.06
244,2018-04-30 04:00:00,0.8468,0.8601,0.8468,0.8495,1261.03
245,2018-04-30 05:00:00,0.8495,0.8522,0.84,0.84,229.24
246,2018-04-30 06:00:00,0.8455,0.8601,0.84,0.8598,557.02
247,2018-04-30 07:00:00,0.8524,0.8572,0.84,0.8432,848.57
248,2018-04-30 08:00:00,0.8406,0.846,0.8325,0.8325,209.32
249,2018-04-30 09:00:00,0.8358,0.847,0.835,0.8451,357.34
250,2018-04-30 10:00:00,0.8451,0.8489,0.8344,0.8489,317.1
251,2018-04-30 11:00:00,0.8514,0.86,0.845,0.8496,653.43
252,2018-04-30 12:00:00,0.8487,0.8757,0.8455,0.8681,727.49
253,2018-04-30 13:00:00,0.8705,0.8838,0.8697,0.8838,617.37
254,2018-04-30 14:00:00,0.883,0.8908,0.8784,0.8908,439.24
255,2018-04-30 15:00:00,0.8908,0.9223,0.8822,0.9117,1962.66
256,2018-04-30 16:00:00,0.9146,0.9232,0.8945,0.9066,1329.0
257,2018-04-30 17:00:00,0.9152,0.9284,0.9066,0.914,846.71
258,2018-04-30 18:00:00,0.914,0.914,0.8906,0.892,558.16
259,2018-04-30 19:00:00,0.8963,0.9036,0.886,0.8986,380.3
260,2018-04-30 20:00:00,0.8946,0.9021,0.8841,0.9021,690.1
261,2018-04-30 21:00:00,0.9037,0.92,0.9037,0.92,383.83
262,2018-04-30 22:00:00,0.9124,0.9248,0.9066,0.9202,350.24
263,2018-04-30 23:00:00,0.9113,0.9218,0.9052,0.9199,286.72
264,2018-05-01 00:00:00,0.9257,0.942,0.894,0.894,1401.42
265,2018-05-01 01:00:00,0.8944,0.9019,0.8849,0.891,414.48
266,2018-05-01 02:00:00,0.8948,0.8977,0.8817,0.8845,350.77
267,2018-05-01 03:00:00,0.8921,0.8954,0.8791,0.8791,405.85
268,2018-05-01 04:00:00,0.8726,0.8894,0.8723,0.8869,571.59
269,2018-05-01 05:00:00,0.8907,0.8964,0.8876,0.8949,100.26
270,2018-05-01 06:00:00,0.9027,0.9294,0.882,0.9149,1234.51
271,2018-05-01 07:00:00,0.918,0.9286,0.9008,0.9072,479.15
272,2018-05-01 08:00:00,0.9072,0.9264,0.9072,0.92,160.41
273,2018-05-01 09:00:00,0.9212,0.9224,0.905,0.9136,944.13
274,2018-05-01 10:00:00,0.9157,0.9485,0.9157,0.9485,336.85
275,2018-05-01 11:00:00,0.9485,0.9643,0.9356,0.9439,1224.33
276,2018-05-01 12:00:00,0.944,0.9508,0.9092,0.9212,951.64
277,2018-05-01 13:00:00,0.92,0.9327,0.9134,0.9327,195.42
278,2018-05-01 14:00:00,0.933,0.9353,0.9242,0.9302,503.36
279,2018-05-01 15:00:00,0.9247,0.9355,0.9172,0.9309,288.9
280,2018-05-01 16:00:00,0.93,0.9353,0.9278,0.9329,108.44
281,2018-05-01 17:00:00,0.9309,0.9309,0.9154,0.9228,382.5
282,2018-05-01 18:00:00,0.9228,0.9362,0.9228,0.9326,360.73
283,2018-05-01 19:00:00,0.9376,0.94,0.9304,0.9376,94.69
284,2018-05-01 20:00:00,0.9369,0.941,0.9337,0.9352,488.31
285,2018-05-01 21:00:00,0.9347,0.9511,0.9347,0.9487,508.38
286,2018-05-01 22:00:00,0.9448,0.964,0.9448,0.9505,530.79
287,2018-05-01 23:00:00,0.9505,0.9506,0.9364,0.9453,153.76
288,2018-05-02 00:00:00,0.9376,0.9411,0.9301,0.9301,456.8
289,2018-05-02 01:00:00,0.93,0.9436,0.9282,0.9399,368.81
290,2018-05-02 02:00:00,0.9321,0.9378,0.93,0.93,999.8
291,2018-05-02 03:00:00,0.9316,0.9562,0.9316,0.95,1034.9
292,2018-05-02 04:00:00,0.9534,0.9612,0.9496,0.9559,550.53
293,2018-05-02 05:00:00,0.955,0.9616,0.9497,0.9508,2062.86
294,2018-05-02 06:00:00,0.9503,0.9678,0.9503,0.9654,1593.92
295,2018-05-02 07:00:00,0.9659,0.9793,0.9605,0.9793,966.42
296,2018-05-02 08:00:00,0.9795,0.9979,0.9742,0.9886,1282.44
297,2018-05-02 09:00:00,0.9904,1.0076,0.9889,1.0019,873.25
298,2018-05-02 10:00:00,1.0015,1.0015,0.974,0.9875,1075.93
299,2018-05-02 11:00:00,0.987,0.9965,0.9866,0.9964,1042.21
300,2018-05-02 12:00:00,0.9956,1.0085,0.9846,1.0047,667.31
301,2018-05-02 13:00:00,1.0081,1.0092,0.9951,1.0037,539.12
302,2018-05-02 14:00:00,1.0037,1.0392,1.0037,1.0326,3614.36
303,2018-05-02 15:00:00,1.0281,1.0293,1.015,1.0172,920.74
304,2018-05-02 16:00:00,1.017,1.0301,1.0108,1.0192,973.58
305,2018-05-02 17:00:00,1.0192,1.0276,1.0103,1.0126,1450.2
306,2018-05-02 18:00:00,1.0189,1.0189,1.0,1.003,467.29
307,2018-05-02 19:00:00,1.003,1.009,0.9898,1.0077,405.82
308,2018-05-02 20:00:00,1.005,1.005,0.9859,0.9941,305.58
309,2018-05-02 21:00:00,0.988,0.993,0.9771,0.9865,1405.64
310,2018-05-02 22:00:00,0.9865,0.9897,0.9796,0.9828,575.03
311,2018-05-02 23:00:00,0.9823,0.9943,0.9783,0.9934,732.94
312,2018-05-03 00:00:00,0.9902,1.0293,0.9902,1.0202,1385.88
313,2018-05-03 01:00:00,1.0202,1.0202,0.9975,1.0011,464.66
314,2018-05-03 02:00:00,1.0061,1.0062,0.9852,0.9853,536.37
315,2018-05-03 03:00:00,0.9892,0.9908,0.98,0.9824,552.84
316,2018-05-03 04:00:00,0.9785,0.9817,0.9655,0.9706,908.28
317,2018-05-03 05:00:00,0.9729,0.993,0.964,0.9683,987.09
318,2018-05-03 06:00:00,0.9664,0.9725,0.9568,0.9707,1370.09
319,2018-05-03 07:00:00,0.9666,0.977,0.9613,0.977,412.07
320,2018-05-03 08:00:00,0.977,0.977,0.9617,0.9663,523.97
321,2018-05-03 09:00:00,0.9647,0.976,0.9646,0.9706,284.06
322,2018-05-03 10:00:00,0.9704,0.9814,0.9623,0.975,2099.76
323,2018-05-03 11:00:00,0.9751,1.0091,0.9751,0.9965,945.72
324,2018-05-03 12:00:00,0.9958,0.9969,0.9696,0.9791,1041.73
325,2018-05-03 13:00:00,0.978,0.9791,0.9581,0.9623,963.21
326,2018-05-03 14:00:00,0.9623,0.9703,0.9559,0.9662,968.59
327,2018-05-03 15:00:00,0.9691,0.9792,0.9629,0.9665,946.35
328,2018-05-03 16:00:00,0.9684,0.9731,0.9602,0.972,1938.68
329,2018-05-03 17:00:00,0.9768,0.982,0.9603,0.9761,998.92
330,2018-05-03 18:00:00,0.9725,0.9749,0.96,0.9749,172.26
331,2018-05-03 19:00:00,0.9749,0.9767,0.9701,0.9726,397.44
332,2018-05-03 20:00:00,0.9779,0.9883,0.9739,0.9811,2569.69
333,2018-05-03 21:00:00,0.9797,0.999,0.97,0.9845,563.22
334,2018-05-03 22:00:00,0.9799,1.0013,0.9754,0.996,1013.11
335,2018-05-03 23:00:00,0.9924,1.0013,0.9712,0.9849,998.11
336,2018-05-04 00:00:00,0.9814,0.9833,0.9702,0.9818,303.45
337,2018-05-04 01:00:00,0.9731,0.9861,0.9713,0.9754,504.31
338,2018-05-04 02:00:00,0.9787,0.9787,0.9702,0.9702,204.63
339,2018-05-04 03:00:00,0.9719,0.9768,0.9702,0.9759,367.36
340,2018-05-04 04:00:00,0.9708,1.0071,0.97,0.998,2261.47
341,2018-05-04 05:00:00,0.998,1.017,0.9976,1.0101,1186.16
342,2018-05-04 06:00:00,1.0089,1.0198,0.9982,1.0046,1105.86
343,2018-05-04 07:00:00,1.0046,1.0156,0.9993,1.0032,246.68
344,2018-05-04 08:00:00,1.0035,1.0069,0.9893,0.9893,1766.46
345,2018-05-04 09:00:00,0.993,0.993,0.9669,0.9737,758.21
346,2018-05-04 10:00:00,0.9687,0.9744,0.9624,0.9671,500.25
347,2018-05-04 11:00:00,0.9706,0.9727,0.9665,0.972,265.58
348,2018-05-04 12:00:00,0.9753,0.9794,0.966,0.97,548.11
349,2018-05-04 13:00:00,0.9732,0.9741,0.9515,0.9515,1359.91
350,2018-05-04 14:00:00,0.9509,0.9556,0.9383,0.949,305.47
351,2018-05-04 15:00:00,0.949,0.9574,0.9454,0.9524,383.16
352,2018-05-04 16:00:00,0.9523,0.9686,0.9487,0.9668,264.36
353,2018-05-04 17:00:00,0.9663,0.969,0.9617,0.9627,413.39
354,2018-05-04 18:00:00,0.9588,0.9657,0.9588,0.9657,116.69
355,2018-05-04 19:00:00,0.9656,0.9656,0.9517,0.9586,278.63
356,2018-05-04 20:00:00,0.9539,0.9564,0.9475,0.9497,69.91
357,2018-05-04 21:00:00,0.9481,0.9634,0.9481,0.9564,62.25
358,2018-05-04 22:00:00,0.9641,0.9646,0.9595,0.9595,148.38
359,2018-05-04 23:00:00,0.964,0.9694,0.9555,0.9557,213.42
360,2018-05-05 00:00:00,0.9556,0.9653,0.9556,0.9617,100.74
361,2018-05-05 01:00:00,0.9617,0.9783,0.9617,0.9621,397.67
362,2018-05-05 02:00:00,0.9603,0.9746,0.9571,0.9617,449.62
363,2018-05-05 03:00:00,0.9662,0.979,0.9619,0.979,395.94
364,2018-05-05 04:00:00,0.9759,0.978,0.9701,0.9725,125.57
365,2018-05-05 05:00:00,0.9734,0.9739,0.9666,0.9735,258.17
366,2018-05-05 06:00:00,0.9771,0.9785,0.9683,0.9689,387.88
367,2018-05-05 07:00:00,0.9701,0.9815,0.9686,0.9815,147.62
368,2018-05-05 08:00:00,0.9806,0.984,0.9674,0.9674,359.39
369,2018-05-05 09:00:00,0.9766,0.9844,0.9685,0.977,411.72
370,2018-05-05 10:00:00,0.9777,0.9777,0.9625,0.9653,621.07
371,2018-05-05 11:00:00,0.961,0.9674,0.9419,0.9519,1011.83
372,2018-05-05 12:00:00,0.9559,0.9693,0.9504,0.9508,389.03
373,2018-05-05 13:00:00,0.9497,0.9552,0.9435,0.9457,568.79
374,2018-05-05 14:00:00,0.9457,0.9506,0.9408,0.9434,997.98
375,2018-05-05 15:00:00,0.9434,0.9457,0.9251,0.9435,1756.74
376,2018-05-05 16:00:00,0.9446,0.947,0.9397,0.9397,170.72
377,2018-05-05 17:00:00,0.9392,0.9392,0.9304,0.936,157.98
378,2018-05-05 18:00:00,0.9352,0.9387,0.9352,0.9353,161.21
379,2018-05-05 19:00:00,0.9383,0.9454,0.9355,0.9402,75.27
380,2018-05-05 20:00:00,0.9402,0.9448,0.9375,0.9413,144.13
381,2018-05-05 21:00:00,0.9424,0.9506,0.941,0.9493,185.58
382,2018-05-05 22:00:00,0.9464,0.9559,0.9396,0.9442,460.93
383,2018-05-05 23:00:00,0.9471,0.9471,0.9363,0.9451,52.62
384,2018-05-06 00:00:00,0.9411,0.9411,0.9363,0.937,161.99
385,2018-05-06 01:00:00,0.9395,0.9445,0.936,0.936,379.3
386,2018-05-06 02:00:00,0.936,0.9378,0.9278,0.9331,177.47
387,2018-05-06 03:00:00,0.9335,0.9335,0.9232,0.9232,491.22
388,2018-05-06 04:00:00,0.9232,0.9289,0.9092,0.9161,1339.44
389,2018-05-06 05:00:00,0.9226,0.9282,0.9077,0.9145,387.79
390,2018-05-06 06:00:00,0.9157,0.9157,0.8762,0.8856,1359.88
391,2018-05-06 07:00:00,0.8804,0.89,0.8699,0.8805,506.71
392,2018-05-06 08:00:00,0.8805,0.8924,0.8805,0.8882,201.13
393,2018-05-06 09:00:00,0.8886,0.8928,0.885,0.8928,77.71
394,2018-05-06 10:00:00,0.8929,0.9067,0.8928,0.9066,896.2
395,2018-05-06 11:00:00,0.9095,0.9244,0.9075,0.9115,405.74
396,2018-05-06 12:00:00,0.9204,0.9339,0.9095,0.9339,95.98
397,2018-05-06 13:00:00,0.9273,0.9484,0.9254,0.9357,516.81
398,2018-05-06 14:00:00,0.9331,0.95,0.9297,0.9343,774.76
399,2018-05-06 15:00:00,0.9328,0.934,0.9297,0.9297,215.11
400,2018-05-06 16:00:00,0.9318,0.9417,0.928,0.9314,28.38
401,2018-05-06 17:00:00,0.9307,0.9509,0.9266,0.9467,960.3
402,2018-05-06 18:00:00,0.9467,0.9536,0.9467,0.9499,300.9
403,2018-05-06 19:00:00,0.9543,0.986,0.9543,0.9593,991.32
404,2018-05-06 20:00:00,0.9593,0.9594,0.9548,0.9594,531.19
